,protocol,number of @,number of //,number of /,number of .,number of -,number of random characters,length of url,length of host name,length of query component,number of third level domains,existence of ip,existence of shady TLD,label
0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
1,0,0,0,0,0,0,0,13,0,0,0,0,0,0
2,0,0,0,1,2,0,14,141,14,111,1,0,0,0
3,0,0,0,0,0,0,0,13,0,0,0,0,0,0
4,0,0,0,0,0,0,0,14,0,0,0,0,0,0
5,0,0,0,0,0,0,0,17,0,0,0,0,0,0
6,0,0,0,0,0,0,0,13,0,0,0,0,0,0
7,0,0,0,0,0,0,0,8,0,0,0,0,0,0
8,0,0,0,0,0,0,0,17,0,0,0,0,0,0
9,0,0,0,0,0,0,0,19,0,0,0,0,0,0
10,0,0,0,0,0,0,0,35,0,0,0,0,0,0
11,1,0,0,6,2,0,0,67,16,0,0,0,0,1
12,0,0,0,0,0,0,0,16,0,0,0,0,0,0
13,0,0,0,1,2,0,19,141,14,111,1,0,0,0
14,0,0,0,0,0,0,0,15,0,0,0,0,0,0
15,0,0,0,0,0,0,0,22,0,0,0,0,0,0
16,0,0,0,0,0,0,0,10,0,0,0,0,0,0
17,0,0,0,0,0,0,0,13,0,0,0,0,0,0
18,0,0,0,0,0,0,0,8,0,0,0,0,0,0
19,0,0,0,0,0,0,0,12,0,0,0,0,0,0
20,0,0,0,0,0,0,0,6,0,0,0,0,0,0
21,0,0,0,0,0,0,0,12,0,0,0,0,0,0
22,0,0,0,0,0,0,0,16,0,0,0,0,0,0
23,0,0,0,1,2,0,19,141,14,111,1,0,0,0
24,0,0,0,0,0,0,0,10,0,0,0,0,0,0
25,1,0,0,0,1,1,0,19,12,0,0,0,0,1
26,0,0,0,0,0,0,0,9,0,0,0,0,0,0
27,0,0,0,0,0,0,0,8,0,0,0,0,0,0
28,0,0,0,0,0,0,0,12,0,0,0,0,0,0
29,0,0,0,0,0,0,0,26,0,0,0,0,0,0
30,1,0,0,2,2,0,3,254,29,208,1,0,0,1
31,0,0,0,0,0,0,0,19,0,0,0,0,0,0
32,1,0,0,5,3,0,0,71,28,0,1,0,0,1
33,1,0,0,0,3,0,0,19,12,0,0,1,0,1
34,0,0,0,0,1,0,0,19,11,0,0,0,0,0
35,0,0,0,1,2,0,19,141,14,111,1,0,0,0
36,1,0,0,4,1,0,1,81,27,0,0,0,0,1
37,0,0,0,0,0,0,0,23,0,0,0,0,0,0
38,0,0,0,0,1,1,0,20,12,0,0,0,0,0
39,0,0,0,0,1,0,0,21,13,0,0,0,0,0
40,1,0,0,2,2,1,0,37,15,0,1,0,0,1
41,0,0,0,0,0,0,0,14,0,0,0,0,0,0
42,1,0,0,3,1,0,0,65,17,0,0,0,0,1
43,0,0,0,0,0,0,0,22,0,0,1,0,0,1
44,0,0,0,0,0,0,0,17,0,0,0,0,0,0
45,0,0,0,0,0,0,0,11,0,0,0,0,0,0
46,0,0,0,0,0,0,0,19,0,0,0,0,0,0
47,0,0,0,0,0,0,0,13,0,0,0,0,0,0
48,1,0,0,7,2,0,0,91,32,0,1,0,0,1
49,0,0,0,0,1,0,0,22,14,0,0,0,0,0
50,0,0,0,0,0,0,0,11,0,0,0,0,0,0
51,0,0,0,0,0,0,0,9,0,0,0,0,0,0
52,0,0,0,0,0,0,0,9,0,0,0,0,0,0
53,1,0,0,4,1,0,0,56,22,0,0,0,0,1
54,1,0,0,1,3,5,0,87,47,0,2,0,0,1
55,0,0,0,0,0,0,0,12,0,0,0,0,0,0
56,0,0,0,0,0,0,0,12,0,0,0,0,0,0
57,0,0,0,0,0,0,0,23,0,0,0,0,0,0
58,1,0,0,10,2,0,0,131,14,0,1,0,0,1
59,1,0,0,2,2,0,0,56,22,0,1,0,0,1
60,0,0,0,0,0,0,0,14,0,0,0,0,0,0
61,0,0,0,0,0,0,0,12,0,0,0,0,0,0
62,1,0,0,10,2,0,0,135,14,0,1,0,0,1
63,0,0,0,0,0,0,0,10,0,0,0,0,0,0
64,0,0,0,0,0,0,0,23,0,0,0,0,0,0
65,0,0,0,0,0,0,0,21,0,0,0,0,0,1
66,0,0,0,0,0,0,0,12,0,0,0,0,0,0
67,0,0,0,0,0,0,0,13,0,0,0,0,0,0
68,0,0,0,0,0,0,0,10,0,0,0,0,0,0
69,1,0,0,2,1,0,0,47,21,0,0,0,0,1
70,0,0,0,0,0,0,0,18,0,0,0,0,0,0
71,0,0,0,0,0,0,0,16,0,0,0,0,0,0
72,0,0,0,0,0,0,0,12,0,0,0,0,0,0
73,0,0,0,0,0,0,0,9,0,0,0,0,0,0
74,0,0,0,0,0,0,0,19,0,0,0,0,0,0
75,1,0,0,10,2,0,0,132,14,0,1,0,0,1
76,1,0,0,7,3,0,7,115,11,0,0,1,0,1
77,0,0,0,0,0,0,0,20,0,0,0,0,0,0
78,0,0,0,0,0,0,0,19,0,0,0,0,0,0
79,0,0,0,0,0,0,0,12,0,0,0,0,0,0
80,0,0,0,0,0,0,0,14,0,0,0,0,0,0
81,0,0,0,0,0,0,0,13,0,0,0,0,0,0
82,0,0,0,0,0,0,0,17,0,0,0,0,0,0
83,1,0,0,2,2,0,0,43,27,0,1,0,0,1
84,0,0,0,0,0,0,0,23,0,0,0,0,0,0
85,1,0,0,3,3,3,3,85,26,13,2,0,0,1
86,0,0,0,0,0,0,0,8,0,0,0,0,0,0
87,1,0,0,3,1,1,0,66,14,0,0,0,0,1
88,0,0,0,0,0,0,0,13,0,0,0,0,0,0
89,0,0,0,0,0,0,0,9,0,0,0,0,0,0
90,0,0,0,1,2,0,19,141,14,111,1,0,0,0
91,0,0,0,0,0,0,0,12,0,0,0,0,0,0
92,0,0,0,0,0,0,0,12,0,0,0,0,0,0
93,0,0,0,1,2,0,19,141,14,111,1,0,0,0
94,0,0,0,0,0,0,0,16,0,0,0,0,0,0
95,0,0,0,1,2,0,19,141,14,111,1,0,0,0
96,0,0,0,0,0,0,0,8,0,0,0,0,0,0
97,0,0,0,0,0,0,0,12,0,0,0,0,0,0
98,0,0,0,0,0,0,0,14,0,0,0,0,0,0
99,0,0,0,0,0,0,0,11,0,0,0,0,0,0
100,0,0,0,0,0,0,0,20,0,0,0,0,0,0
101,0,0,0,0,0,0,0,16,0,0,0,0,0,0
102,1,0,0,5,3,0,2,70,20,22,1,0,0,1
103,0,0,0,0,0,0,0,13,0,0,0,0,0,0
104,0,0,0,0,0,0,0,18,0,0,0,0,0,0
105,0,0,0,0,0,0,0,16,0,0,0,0,0,0
106,0,0,0,0,0,0,0,15,0,0,0,0,0,0
107,0,0,0,0,0,0,0,13,0,0,0,0,0,0
108,0,0,0,0,1,0,0,29,21,0,0,0,0,0
109,0,0,0,0,0,0,0,10,0,0,0,0,0,0
110,0,0,0,1,3,0,3,37,17,10,1,0,0,0
